repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,notes
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Rename Variable,"ch : char to codePoint : int in method public uncapitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Change Variable Type,buffer : char[] to strLen : int in method public swapCase(str String) : String in class org.apache.commons.text.WordUtils,,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Change Variable Type,ch : char to oldCodepoint : int in method public swapCase(str String) : String in class org.apache.commons.text.WordUtils,,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Rename Variable,buffer : char[] to strLen : int in method public swapCase(str String) : String in class org.apache.commons.text.WordUtils,,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Rename Variable,ch : char to oldCodepoint : int in method public swapCase(str String) : String in class org.apache.commons.text.WordUtils,,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,ed55131f3679c12b53b45aae3000a7759dcfe4f0,https://github.com/apache/commons-text/commit/ed55131f3679c12b53b45aae3000a7759dcfe4f0,False,,,true,true,false,There is a false negative (Extract Variable). Review comments regarding improvements in using variables (changing str.length() to strLen variable).
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,d58d0146ffa505f7df86197d9180558f2c0de25b,https://github.com/apache/commons-text/commit/d58d0146ffa505f7df86197d9180558f2c0de25b,False,,,true,true,false,"There is a false negative. Review comments regarding the visibility modifier of a method (isDelimiter()), changing it from private to public."
apache/brooklyn-server,411,non-refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/411,dc52db3fc6030dc8e863d6c71794ac7d0bcf732b,https://github.com/apache/brooklyn-server/commit/dc52db3fc6030dc8e863d6c71794ac7d0bcf732b,True,Extract Method,public lines(lines Iterable<String>) : String extracted from public lines(lines String...) : String in class org.apache.brooklyn.util.text.Strings,,,,PR comprises corrective changes (fixing faults) | No bot
apache/brooklyn-server,411,non-refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/411,ef3942166b031b10157bc65708fb533eba4ad60c,https://github.com/apache/brooklyn-server/commit/ef3942166b031b10157bc65708fb533eba4ad60c,True,,,,,,A direct review comment regarding code logic
apache/brooklyn-server,411,non-refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/411,e9c1f4cbb67d1bd89d1e7d84f8730225047ea337,https://github.com/apache/brooklyn-server/commit/e9c1f4cbb67d1bd89d1e7d84f8730225047ea337,True,,,,,,A review comment requiring documentation.
apache/brooklyn-server,411,non-refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/411,c70959099cbd8552dca5b36f573a293a1cd04e1f,https://github.com/apache/brooklyn-server/commit/c70959099cbd8552dca5b36f573a293a1cd04e1f,True,,,,,,
apache/brooklyn-server,411,non-refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/411,dc83d7a5015e2dd1984f3f24b646aae68ff4c160,https://github.com/apache/brooklyn-server/commit/dc83d7a5015e2dd1984f3f24b646aae68ff4c160,False,,,,,,
apache/kafka,5111,non-refactoring-inducing PR,https://github.com/apache/kafka/pull/5111,fbb0c1c1f168476e1f3ffeca6a7c0bd2d6f0fd68,https://github.com/apache/kafka/commit/fbb0c1c1f168476e1f3ffeca6a7c0bd2d6f0fd68,True,,,,,,PR comprises perfective changes (update) | PR's title self-declares a minor change | No bot.
apache/kafka,5111,non-refactoring-inducing PR,https://github.com/apache/kafka/pull/5111,9ae123a4113b9c7661faaa33f0eca55bdd3f8a03,https://github.com/apache/kafka/commit/9ae123a4113b9c7661faaa33f0eca55bdd3f8a03,False,,,,,,Review comments regarding code logic
apache/kafka,5111,non-refactoring-inducing PR,https://github.com/apache/kafka/pull/5111,d857d798fe4a53fa8d58d6d55736b79a7bc18006,https://github.com/apache/kafka/commit/d857d798fe4a53fa8d58d6d55736b79a7bc18006,False,,,,,,
